,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals
10,American NCAA,33,20,13,.606,0.69,-3.25,,13,5,,11,3,,9,9,,63.1,59.1,,40.2,22.7,46.3,.490,6.27,16.5,.379,11.5,16.2,.707,7.03,29.9,14.9,6.00,3.33,14.1,17.2
11,Appalachian State,30,9,21,.300,-15.32,-7.13,,5,11,,7,7,,2,13,,67.8,71.7,,40.3,24.0,57.7,.416,5.03,16.7,.302,14.8,23.2,.638,13.1,36.4,10.9,6.23,2.77,12.1,19.9
12,Arizona State NCAA,33,21,12,.636,13.32,7.41,,10,8,,16,1,,4,7,,75.3,69.4,,40.8,25.3,56.1,.451,8.12,20.8,.390,16.5,23.8,.694,8.52,35.5,14.3,5.06,5.52,11.4,19.2
13,Arizona NCAA,38,33,5,.868,23.36,9.04,,15,3,,18,0,,8,3,,72.9,58.6,,40.5,26.2,55.9,.469,5.37,14.8,.364,15.1,22.9,.659,12.2,38.1,15.1,5.87,4.55,10.2,16.6
14,Little Rock,32,15,17,.469,-5.39,-1.09,,9,9,,7,6,,6,9,,71.5,74.1,,41.3,24.5,57.6,.425,5.13,15.8,.325,17.4,23.6,.737,11.5,36.7,11.8,5.94,3.91,13.2,21.5
15,Arkansas-Pine Bluff,31,13,18,.419,-15.39,-6.90,,11,7,,6,3,,6,12,,63.1,70.6,,40.0,21.3,51.8,.411,6.23,18.1,.343,14.4,21.8,.661,9.90,30.5,11.3,9.55,2.32,15.4,19.5
16,Arkansas State,32,19,13,.594,-0.44,-3.18,,10,8,,11,4,,7,8,,76.0,71.8,,41.1,24.9,56.1,.444,8.81,23.0,.383,17.4,23.9,.726,9.41,34.5,13.3,6.75,2.78,12.2,17.8
17,Arkansas,34,22,12,.647,14.34,5.57,,10,8,,17,2,,3,7,,80.1,71.3,,40.5,27.3,61.9,.441,7.44,20.5,.362,18.1,24.9,.726,11.9,35.9,15.3,8.44,5.56,11.5,20.8
18,Army,31,15,16,.484,-6.16,-4.66,,10,8,,7,7,,7,8,,72.4,73.2,,40.3,25.8,58.2,.444,7.61,22.5,.339,13.1,18.7,.700,11.4,33.6,14.1,6.03,4.26,12.9,18.3
19,Auburn,30,14,16,.467,5.11,5.47,,6,12,,12,6,,2,8,,71.5,71.8,,40.0,24.1,55.2,.437,5.73,18.5,.310,17.5,24.3,.721,11.0,34.1,11.6,6.10,4.47,12.1,21.5
20,Austin Peay,30,12,18,.400,-10.50,-5.78,,6,10,,8,6,,3,11,,76.2,78.9,,40.5,26.6,54.4,.488,5.27,15.3,.344,17.8,26.8,.665,9.93,33.3,14.8,6.87,5.20,15.7,17.2
21,Ball State,30,5,25,.167,-10.17,0.65,,2,16,,5,9,,0,16,,65.6,73.8,,40.8,21.7,53.4,.407,6.53,20.8,.314,15.6,22.6,.691,12.8,36.9,12.5,4.53,2.33,16.8,20.5
22,Baylor NCAA,38,26,12,.684,15.80,10.11,,9,9,,13,4,,5,5,,74.8,67.8,,40.5,25.2,55.5,.455,7.37,19.1,.386,17.0,25.0,.680,13.8,38.3,14.8,5.18,5.32,11.6,17.1
23,Belmont,36,26,10,.722,3.29,-1.88,,14,2,,13,1,,10,8,,79.9,73.9,,40.0,27.3,54.8,.498,8.97,22.9,.392,16.3,22.1,.739,8.75,31.2,15.9,6.89,2.44,12.9,20.4
24,Bethune-Cookman,32,7,25,.219,-16.86,-7.53,,5,11,,5,6,,2,18,,63.5,70.4,,40.3,21.4,53.5,.400,6.81,19.2,.356,13.8,19.2,.719,11.5,31.3,9.88,6.22,2.50,12.8,21.3
25,Binghamton,30,7,23,.233,-16.15,-6.15,,4,12,,3,10,,4,12,,61.3,71.3,,40.5,19.7,51.8,.380,6.07,19.0,.320,15.9,22.9,.693,10.4,32.3,9.40,6.13,2.00,14.3,19.9
26,Boise State,34,21,13,.618,8.83,3.86,,9,9,,12,4,,5,7,,76.2,69.0,,40.6,26.2,57.4,.456,7.76,20.9,.372,16.1,21.5,.749,11.0,34.4,12.0,5.97,2.09,10.0,19.2
27,Boston College,32,8,24,.250,3.01,8.62,,4,14,,4,9,,3,11,,68.7,73.6,,40.8,22.4,50.2,.446,7.72,21.9,.352,16.2,21.8,.741,8.28,29.7,12.4,4.38,2.69,11.2,18.8
28,Boston University,35,24,11,.686,1.77,-2.40,,15,3,,11,6,,11,4,,71.2,67.0,,40.6,25.5,56.5,.452,8.06,22.2,.363,12.1,16.9,.714,9.51,33.2,14.0,7.00,1.77,11.7,16.9
29,Bowling Green State,32,12,20,.375,-3.45,-0.20,,6,12,,7,8,,4,11,,62.7,64.2,,40.3,23.2,54.5,.426,3.75,13.0,.288,12.5,19.7,.637,10.6,35.3,12.1,7.69,5.53,14.7,17.6
30,Bradley,32,12,20,.375,-2.72,-0.31,,7,11,,11,6,,1,11,,63.6,66.0,,40.0,22.5,53.8,.419,4.81,15.0,.322,13.8,19.6,.701,11.1,33.3,9.56,7.06,2.63,12.0,19.8
31,Brigham Young NCAA,35,23,12,.657,11.63,5.72,,13,5,,14,1,,5,7,,83.7,77.3,,40.7,28.9,62.5,.463,5.06,14.3,.355,20.9,30.1,.692,13.2,40.9,15.5,7.17,2.94,11.3,19.7
32,Brown,29,15,14,.517,-1.44,-4.04,,7,7,,8,6,,7,8,,71.2,67.3,,40.3,25.3,58.8,.431,6.76,17.8,.381,13.8,20.4,.673,11.3,39.8,13.4,5.66,4.76,12.9,19.7
33,Bryant,32,18,14,.563,-4.25,-4.89,,10,6,,11,4,,7,9,,73.5,72.0,,40.3,26.3,55.9,.470,6.28,18.8,.334,14.7,20.9,.703,9.59,34.2,13.1,6.47,2.91,12.4,17.8
34,Bucknell,30,16,14,.533,-1.30,-3.14,,11,7,,8,6,,8,8,,65.9,64.1,,40.0,23.3,54.2,.429,6.53,16.7,.390,12.8,17.2,.746,9.57,35.6,11.9,4.60,1.63,10.7,16.7
35,Buffalo,29,19,10,.655,3.58,-2.13,,13,5,,13,1,,6,6,,73.5,67.3,,40.2,25.1,56.2,.447,6.45,19.2,.335,16.8,23.6,.712,12.2,37.0,15.0,6.83,4.72,12.6,18.4
36,Butler,31,14,17,.452,7.04,6.98,,4,14,,8,7,,4,7,,68.5,66.6,,41.1,24.4,56.7,.429,5.90,18.3,.323,13.9,21.1,.661,11.0,34.6,11.1,6.00,2.84,10.0,16.9
37,Cal Poly NCAA,34,14,20,.412,-1.34,1.69,,6,10,,6,6,,3,12,,63.0,63.6,,40.0,22.2,54.4,.408,6.41,19.2,.333,12.2,17.7,.688,11.1,32.2,11.6,5.82,2.74,8.91,18.3
38,Cal State Bakersfield,32,13,19,.406,-4.86,-4.31,,5,11,,6,7,,5,10,,69.2,68.4,,40.3,24.0,54.8,.438,6.91,17.8,.389,14.4,20.9,.688,11.8,34.9,12.0,6.50,3.47,13.8,22.1
39,Cal State Fullerton,31,11,20,.355,-5.08,-1.12,,6,10,,8,5,,3,12,,67.5,71.5,,40.2,23.7,55.7,.425,6.16,18.6,.331,14.0,21.2,.658,10.5,33.7,11.1,4.68,1.87,11.9,19.5
40,Cal State Northridge,35,17,18,.486,-4.89,-3.29,,7,9,,11,3,,2,14,,76.8,77.5,,41.2,25.4,55.9,.454,4.23,11.5,.367,21.9,27.6,.791,11.1,35.6,13.5,6.91,2.74,12.8,20.5
41,UC Davis,31,9,22,.290,-11.55,-1.76,,4,12,,6,9,,1,13,,70.1,77.7,,41.0,24.0,54.9,.438,7.90,22.2,.357,14.2,20.4,.696,8.23,28.6,12.0,5.13,2.26,12.0,19.5
42,UC Irvine,35,23,12,.657,4.35,-0.65,,13,3,,12,4,,10,7,,70.5,63.7,,40.4,26.0,55.2,.470,5.63,15.9,.354,12.9,20.2,.641,10.9,38.6,15.6,5.57,6.40,12.7,18.4
43,UC Riverside,31,10,21,.323,-7.64,-2.33,,5,11,,8,7,,2,13,,68.3,71.4,,40.6,23.9,55.2,.433,4.45,14.7,.302,16.1,22.9,.702,10.3,33.9,11.3,6.42,4.32,13.2,19.3
44,UC Santa Barbara,30,21,9,.700,4.23,-0.13,,12,4,,10,3,,9,5,,71.2,65.3,,40.5,24.4,52.5,.464,7.00,18.2,.385,15.5,21.9,.708,10.2,35.3,15.9,4.97,4.83,11.2,18.8
45,California,35,21,14,.600,10.70,7.44,,10,8,,15,4,,5,7,,72.4,69.1,,40.5,26.3,57.5,.457,5.69,16.5,.345,14.1,20.5,.686,10.1,35.6,15.3,5.29,4.54,10.2,16.9
46,Campbell,32,12,20,.375,-14.04,-7.33,,6,10,,9,7,,3,12,,67.6,71.6,,40.5,24.1,54.6,.441,8.69,24.8,.350,10.8,15.9,.677,10.8,32.8,14.2,6.03,4.38,13.3,17.9
47,Canisius,34,21,13,.618,1.24,-1.95,,14,6,,9,4,,8,7,,78.3,75.6,,39.7,26.9,58.5,.459,7.97,20.6,.386,16.6,22.4,.740,11.3,32.6,12.5,6.85,3.82,11.6,18.0
48,Central Arkansas,29,8,21,.276,-16.25,-5.54,,5,13,,7,8,,1,13,,74.7,81.4,,40.3,27.1,60.7,.447,6.59,18.0,.366,13.8,23.0,.601,11.1,33.9,12.7,8.52,4.72,14.5,21.9
49,Central Connecticut State,30,11,19,.367,-13.10,-6.06,,7,9,,5,8,,6,10,,70.6,77.3,,40.3,26.0,59.8,.435,5.63,16.8,.335,12.9,17.9,.717,10.5,34.5,13.0,6.90,4.87,14.0,18.6
50,Central Florida,31,13,18,.419,2.35,5.14,,4,14,,10,7,,2,10,,72.7,73.6,,40.6,25.9,59.1,.439,6.94,20.7,.335,13.9,22.7,.614,14.2,38.2,12.5,6.87,4.42,13.7,17.9
51,Central Michigan,31,10,21,.323,-8.82,-2.72,,3,15,,8,8,,2,13,,72.5,73.8,,40.6,24.7,57.0,.434,8.03,25.1,.320,15.0,21.1,.710,10.6,31.3,12.0,7.48,1.16,10.7,18.1
52,Charleston Southern,31,13,18,.419,-5.27,-5.75,,6,10,,8,6,,4,12,,81.4,72.3,,40.8,27.7,60.5,.458,9.74,25.5,.383,16.2,22.2,.730,11.8,37.4,13.7,6.52,2.84,10.8,18.2
53,Charlotte,31,17,14,.548,-0.69,-0.50,,7,9,,10,5,,3,8,,71.5,71.6,,40.3,25.4,57.1,.445,6.00,16.9,.356,14.6,22.5,.648,12.3,38.3,13.5,6.06,2.52,14.7,18.4
54,Chattanooga,33,18,15,.545,-10.83,-7.90,,12,4,,11,2,,5,11,,75.4,73.9,,40.3,25.2,58.2,.433,6.55,19.7,.332,18.5,26.2,.703,13.4,37.4,11.8,7.03,5.09,13.4,19.2
55,Chicago State,32,13,19,.406,-10.47,-2.44,,8,8,,9,5,,4,13,,69.8,76.2,,40.8,24.6,58.9,.418,6.88,20.4,.337,13.7,20.3,.675,10.2,31.3,11.2,8.69,2.59,12.2,23.0
56,Cincinnati NCAA,34,27,7,.794,15.26,5.28,,15,3,,18,1,,7,3,,68.4,58.4,,40.0,23.7,55.7,.425,5.76,17.2,.335,15.3,21.6,.708,13.4,36.0,12.5,7.88,5.53,11.1,17.5
57,The Citadel,33,7,26,.212,-17.61,-6.75,,2,14,,6,8,,0,15,,67.0,74.3,,40.3,23.2,53.9,.430,6.36,17.6,.361,14.3,19.8,.722,8.94,33.1,13.4,4.15,2.88,12.5,19.1
58,Clemson,36,23,13,.639,11.08,5.97,,10,8,,16,3,,4,7,,63.5,58.4,,40.9,22.1,52.2,.424,5.28,17.0,.310,14.0,18.9,.744,11.1,35.3,10.6,4.67,6.14,11.1,15.7
59,Cleveland State,33,21,12,.636,4.38,-0.52,,12,4,,12,3,,9,8,,73.0,66.2,,40.6,25.4,54.1,.469,7.27,18.0,.404,15.0,20.0,.753,10.5,33.8,14.2,6.06,3.42,12.5,19.7
60,Coastal Carolina NCAA,34,21,13,.618,-5.21,-6.31,,11,5,,14,5,,6,7,,72.3,68.4,,40.4,25.3,57.9,.437,6.24,18.5,.338,15.4,22.3,.691,12.8,39.3,10.6,6.35,2.82,13.9,19.6
61,Colgate,31,13,18,.419,-2.51,-4.08,,6,12,,7,8,,6,10,,69.6,67.2,,40.6,25.3,52.3,.484,8.39,21.2,.396,10.6,14.8,.715,7.10,30.8,14.2,4.61,2.26,11.5,17.1
62,College of Charleston,32,14,18,.438,-2.02,-1.89,,6,10,,9,7,,4,8,,63.0,62.7,,40.6,22.2,53.7,.412,6.53,19.2,.341,12.2,18.5,.656,12.3,37.9,10.1,4.66,4.13,12.8,18.6
63,Colorado State,32,16,16,.500,3.29,2.16,,7,11,,14,6,,2,9,,73.3,69.7,,40.0,24.1,56.2,.428,5.31,16.3,.326,19.9,27.4,.726,12.7,37.6,12.7,4.97,3.22,9.16,18.5
64,Colorado NCAA,35,23,12,.657,10.80,8.80,,10,8,,16,2,,5,6,,70.2,68.2,,40.4,23.3,53.5,.435,5.17,16.3,.318,18.5,25.8,.718,11.5,37.3,11.3,5.91,3.29,13.3,16.5
65,Columbia,34,21,13,.618,2.21,-1.92,,8,6,,14,4,,5,8,,68.0,63.3,,40.7,21.8,48.9,.446,8.18,21.1,.388,16.2,20.9,.775,8.35,32.7,12.3,5.09,2.79,12.1,18.4
66,Connecticut NCAA,40,32,8,.800,17.23,8.63,,12,6,,14,3,,6,4,,71.8,63.2,,40.3,24.3,54.1,.449,7.17,18.5,.387,16.1,20.7,.777,9.68,34.7,12.2,7.03,5.75,11.4,18.0
67,Coppin State,32,12,20,.375,-11.09,-4.99,,7,9,,5,7,,5,10,,69.7,75.1,,40.2,22.6,57.5,.392,7.34,22.7,.324,17.3,23.6,.730,11.6,33.6,11.5,6.00,2.16,11.9,17.0
68,Cornell,28,2,26,.071,-15.60,0.03,,1,13,,2,11,,0,15,,64.1,78.4,,40.4,23.3,56.8,.410,6.86,21.5,.318,10.7,16.1,.664,10.4,31.4,10.7,4.18,2.79,12.0,20.8
69,Creighton NCAA,35,27,8,.771,18.03,7.17,,14,4,,16,0,,7,4,,78.7,67.9,,40.0,27.3,55.1,.497,10.2,24.5,.414,13.9,18.7,.743,8.37,34.1,17.5,3.97,1.40,9.77,17.7
70,Dartmouth,28,12,16,.429,-4.85,-3.24,,5,9,,8,7,,4,9,,68.0,66.6,,40.2,24.0,54.1,.444,6.21,16.4,.379,13.8,20.0,.686,10.8,33.1,12.6,5.93,3.07,12.0,20.0
71,Davidson,33,20,13,.606,0.81,-3.73,,15,1,,8,4,,10,4,,78.5,72.8,,40.6,27.2,56.9,.477,8.27,22.0,.376,15.9,22.3,.716,9.82,32.9,13.7,5.42,1.76,11.5,20.2
72,Dayton NCAA,37,26,11,.703,10.55,5.34,,10,6,,13,4,,7,4,,72.2,67.0,,40.3,25.3,54.5,.463,6.57,17.4,.377,15.1,22.1,.681,11.2,34.8,13.1,6.00,2.59,11.9,19.9
73,Delaware State,30,9,21,.300,-12.64,-6.11,,5,11,,7,7,,2,12,,61.6,64.9,,40.5,21.5,51.0,.422,5.20,16.2,.322,13.3,19.3,.689,9.23,31.4,12.2,5.07,3.53,11.4,18.1
74,Delaware NCAA,35,25,10,.714,2.73,-1.10,,14,2,,10,2,,11,7,,79.5,75.7,,40.1,26.7,60.2,.444,7.20,20.8,.347,18.8,26.4,.711,11.0,36.1,10.8,5.94,3.51,9.54,18.9
75,Denver,31,16,15,.516,0.84,-0.42,,8,6,,9,4,,5,8,,65.9,64.5,,40.6,22.9,49.5,.463,8.16,21.1,.387,11.9,16.8,.710,7.29,26.1,15.0,7.00,3.29,9.90,20.0
76,DePaul,33,12,21,.364,1.50,7.47,,3,15,,8,9,,3,9,,69.4,75.4,,40.6,23.7,56.0,.423,5.91,17.6,.336,16.1,23.5,.684,12.3,33.9,10.9,6.70,4.21,13.5,21.6
77,Detroit Mercy,32,13,19,.406,-3.25,-0.25,,6,10,,8,7,,5,12,,71.1,70.8,,40.8,24.3,58.2,.418,5.97,18.6,.321,16.5,22.6,.729,12.5,36.7,11.6,7.34,4.56,12.8,21.3
78,Drake,31,15,16,.484,-0.77,1.03,,6,12,,9,5,,4,9,,68.3,68.2,,40.2,23.2,51.4,.452,7.71,19.5,.396,14.1,19.7,.714,8.48,32.5,12.7,5.52,2.16,11.9,18.4
79,Drexel,30,16,14,.533,1.23,-0.24,,8,8,,8,4,,6,8,,68.8,67.3,,41.5,23.9,56.9,.421,5.13,16.4,.314,15.8,22.3,.709,10.5,35.7,11.8,4.57,3.90,8.50,21.3
80,Duke NCAA,35,26,9,.743,19.51,8.48,,13,5,,17,0,,4,5,,78.4,67.4,,40.1,26.5,57.7,.460,9.03,22.9,.395,16.3,22.4,.729,11.7,34.5,14.5,6.97,3.00,9.37,19.5
81,Duquesne,30,13,17,.433,0.66,1.03,,5,11,,6,8,,7,6,,73.3,73.7,,40.0,25.0,56.6,.442,7.27,20.0,.363,16.0,23.9,.669,10.8,35.3,15.2,5.83,2.77,11.0,18.0
82,East Carolina,34,17,17,.500,-4.08,-2.41,,5,11,,10,7,,3,10,,72.9,70.9,,40.0,23.8,53.9,.441,8.50,23.1,.368,16.8,23.5,.713,10.4,33.7,13.5,6.32,3.15,11.7,17.3
83,East Tennessee State,35,19,16,.543,-5.93,-6.08,,10,8,,14,6,,5,10,,76.8,76.1,,40.3,25.1,58.4,.430,7.86,21.7,.363,18.7,25.1,.748,10.5,35.1,12.3,7.69,3.09,11.7,20.0
84,Eastern Illinois,30,11,19,.367,-11.53,-4.21,,7,9,,7,7,,4,11,,67.7,73.5,,40.0,23.4,53.3,.440,5.07,15.9,.319,15.7,22.0,.715,10.5,32.4,12.0,5.70,4.80,13.3,19.2
85,Eastern Kentucky NCAA,34,24,10,.706,0.60,-4.34,,11,5,,12,2,,8,6,,78.7,70.9,,40.1,25.9,53.2,.487,9.26,23.7,.390,17.6,23.5,.752,7.15,26.0,14.6,8.79,1.97,10.6,20.8
86,Eastern Michigan,37,22,15,.595,1.79,0.67,,10,8,,16,3,,4,11,,65.5,61.4,,40.4,22.2,54.2,.409,5.05,16.4,.309,16.1,23.7,.678,11.1,35.2,10.6,8.27,5.97,11.3,18.3
87,Eastern Washington,31,15,16,.484,-5.32,-4.15,,10,10,,10,4,,3,11,,76.2,75.1,,40.2,26.2,57.8,.454,8.10,21.8,.371,15.6,22.6,.693,10.6,36.5,13.5,4.74,4.29,12.0,19.5
88,Elon,32,18,14,.563,-4.02,-4.50,,11,5,,11,4,,7,6,,74.8,71.3,,40.3,26.2,55.9,.468,8.00,21.3,.375,14.4,20.0,.723,9.06,33.9,13.8,5.03,2.91,12.1,18.0
89,Evansville,33,14,19,.424,-3.12,1.20,,6,12,,10,7,,3,11,,69.4,72.2,,40.3,23.5,50.7,.464,4.36,12.1,.362,18.1,25.2,.718,8.36,32.0,14.7,5.03,3.76,12.8,18.9
90,Fairfield,32,7,25,.219,-7.37,-0.81,,4,16,,4,9,,2,13,,63.4,70.0,,40.2,21.8,54.8,.398,6.88,20.6,.333,13.0,19.0,.685,11.1,35.4,11.3,4.41,3.66,14.7,22.9
91,Fairleigh Dickinson,31,10,21,.323,-11.24,-4.07,,6,10,,6,6,,4,14,,69.6,76.1,,40.3,23.9,57.0,.420,7.29,20.5,.355,14.4,20.0,.720,10.6,31.6,10.9,6.74,3.94,11.7,21.3
92,Florida A&M,32,14,18,.438,-12.31,-7.58,,8,8,,9,3,,3,14,,71.3,74.1,,40.3,25.3,62.8,.402,6.66,19.9,.334,14.1,21.5,.654,14.8,39.2,11.3,7.41,4.13,14.6,24.0
93,Florida Atlantic,32,10,22,.313,-5.12,-0.42,,5,11,,7,8,,3,11,,66.3,68.5,,40.0,23.3,55.0,.424,6.56,19.7,.334,13.0,20.2,.643,12.4,36.9,11.9,4.72,4.59,13.0,18.8
94,Florida Gulf Coast,35,22,13,.629,-1.97,-5.76,,14,4,,16,2,,6,10,,71.5,66.8,,40.3,26.1,55.9,.467,5.71,17.4,.329,13.6,20.2,.674,9.94,36.6,12.8,5.71,3.57,13.1,18.2
95,Florida International,31,15,16,.484,-5.40,-1.58,,7,9,,9,6,,5,8,,68.6,70.0,,40.3,24.3,54.2,.449,4.90,15.5,.316,15.1,22.5,.670,11.5,36.1,10.8,7.13,4.19,14.1,18.1
96,Florida State,36,22,14,.611,12.63,8.13,,9,9,,12,5,,6,6,,70.9,66.4,,40.3,24.3,52.0,.466,5.31,13.9,.380,17.1,23.8,.722,10.9,34.9,10.7,5.92,5.31,14.2,18.1
97,Florida NCAA,39,36,3,.923,20.69,8.54,,18,0,,17,0,,10,2,,69.9,57.8,,40.0,24.2,52.7,.460,6.54,18.2,.359,14.9,22.3,.668,11.2,35.5,13.1,7.03,3.03,10.7,15.7
98,Fordham,31,10,21,.323,-3.16,3.14,,2,14,,7,8,,2,12,,71.7,78.0,,40.2,24.6,62.6,.393,7.10,23.2,.306,15.4,20.9,.733,14.5,37.2,12.2,6.68,4.06,11.4,19.9
99,Fresno State,39,21,18,.538,3.59,3.75,,9,9,,13,6,,7,10,,72.7,70.5,,40.8,24.4,55.6,.438,7.46,20.9,.357,16.6,22.7,.731,9.21,33.8,12.1,6.49,4.54,10.1,19.3
100,Furman,30,9,21,.300,-17.44,-7.40,,3,13,,6,8,,3,12,,65.2,73.2,,40.2,22.7,51.3,.442,5.47,16.4,.333,14.4,21.1,.681,8.97,31.3,9.60,4.90,2.83,13.6,17.0
101,Gardner-Webb,33,18,15,.545,-7.33,-6.90,,10,6,,8,5,,7,9,,73.5,70.0,,41.2,25.7,57.4,.447,5.30,15.6,.339,16.8,24.5,.686,12.2,35.8,15.1,7.64,3.15,12.3,18.4
102,George Mason,31,11,20,.355,2.03,4.58,,5,12,,6,8,,4,8,,69.5,72.0,,40.5,24.4,55.5,.440,4.94,14.0,.352,15.8,22.3,.709,11.0,34.6,10.9,5.26,3.48,13.6,20.9
103,George Washington NCAA,33,24,9,.727,10.60,4.42,,11,5,,14,1,,6,5,,73.2,67.0,,40.1,25.4,54.9,.463,5.67,15.6,.364,16.7,25.6,.651,11.9,37.2,14.0,7.12,4.09,13.0,18.0
104,Georgetown,33,18,15,.545,10.96,8.27,,8,10,,13,3,,2,9,,71.0,68.3,,40.3,24.3,52.8,.460,5.45,16.5,.331,17.0,23.6,.721,10.2,33.4,13.1,6.06,4.27,11.7,22.1
105,Georgia Southern,34,15,19,.441,-11.44,-8.60,,6,10,,7,6,,5,11,,70.8,70.4,,40.4,24.7,56.7,.436,7.12,21.1,.338,14.2,21.5,.662,10.9,35.2,9.62,6.85,1.65,11.9,17.3
106,Georgia State,34,25,9,.735,6.04,-2.56,,17,1,,13,0,,10,7,,77.7,68.5,,40.6,26.5,56.6,.468,7.41,19.8,.375,17.3,22.3,.778,8.12,31.6,13.3,7.65,4.91,7.88,17.3
107,Georgia Tech,33,16,17,.485,5.12,5.24,,6,12,,10,7,,5,7,,66.7,66.8,,40.5,24.1,56.0,.431,5.24,16.6,.315,13.2,19.3,.684,11.3,36.0,13.2,5.18,4.24,12.1,17.8
108,Georgia,34,20,14,.588,7.90,5.78,,12,6,,15,3,,4,7,,68.9,66.8,,40.3,22.6,51.2,.441,4.91,14.1,.349,18.9,27.7,.682,11.8,37.0,10.0,5.09,4.65,13.1,18.8
109,Gonzaga NCAA,36,29,7,.806,15.56,5.36,,15,3,,15,0,,8,4,,76.7,65.9,,39.5,27.0,54.5,.495,7.08,17.9,.397,15.6,22.0,.709,9.53,35.9,14.6,6.53,3.94,11.6,18.3
110,Grambling,29,5,24,.172,-24.61,-9.05,,3,15,,3,8,,1,15,,65.6,79.9,,40.0,22.3,54.3,.411,6.17,19.1,.323,14.8,22.2,.667,11.0,31.2,10.4,6.10,2.07,14.9,19.2
111,Grand Canyon,30,15,15,.500,-6.40,-3.51,,10,6,,8,4,,5,9,,72.1,71.7,,40.2,22.4,51.6,.433,6.87,19.6,.350,20.5,27.7,.740,9.47,35.2,12.9,4.03,2.70,12.7,20.1
112,Green Bay,31,24,7,.774,7.18,0.11,,14,2,,13,4,,9,2,,74.3,64.5,,40.3,26.2,55.3,.474,4.84,13.7,.354,17.0,24.2,.703,11.2,36.7,15.3,7.16,7.19,12.7,16.8
113,Hampton,31,18,13,.581,-5.17,-7.91,,13,4,,9,3,,8,7,,73.0,70.2,,41.1,24.1,57.5,.419,5.52,17.2,.320,19.3,29.3,.657,12.7,37.8,11.8,7.55,5.94,14.7,23.7
114,Hartford,33,17,16,.515,-6.63,-6.18,,10,6,,9,3,,7,9,,65.5,66.0,,40.2,22.2,48.3,.459,8.03,21.3,.376,13.2,18.8,.703,6.97,27.5,12.2,5.61,2.06,13.9,19.2
115,Harvard NCAA,32,27,5,.844,10.79,-0.47,,13,1,,11,1,,11,3,,73.2,61.0,,40.6,24.6,52.8,.465,5.75,14.9,.385,18.3,25.3,.724,10.5,34.1,14.0,7.59,4.84,11.4,17.7
116,Hawaii,31,20,11,.645,3.43,-1.68,,9,7,,14,5,,6,4,,80.0,73.2,,40.5,27.9,59.0,.473,5.71,17.0,.335,18.4,25.5,.722,12.7,35.9,14.1,6.13,3.55,11.8,19.5
