,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
53,Charlotte,30,13,17,.433,-5.24,-0.93,,7,11,,10,5,,3,9,,76.5,80.2,,40.2,26.7,60.1,.444,7.90,21.0,.376,15.3,20.5,.746,7.47,32.6,12.0,6.33,3.13,12.2,19.3
54,Chattanooga,31,19,12,.613,1.10,-2.08,,10,8,,11,3,,7,7,,74.6,68.8,,40.2,25.8,55.4,.466,7.45,21.5,.346,15.5,21.8,.710,10.4,32.4,12.2,7.77,4.68,13.3,18.4
55,Chicago State,32,6,26,.188,-16.67,-0.19,,1,13,,3,7,,2,17,,65.3,78.5,,40.6,23.1,60.1,.384,6.63,21.3,.311,12.5,17.8,.701,10.8,35.1,11.3,6.72,2.13,13.8,19.3
56,Cincinnati NCAA,36,30,6,.833,18.43,5.49,,16,2,,18,0,,8,3,,74.3,61.3,,40.3,26.9,58.8,.458,7.33,21.2,.346,13.1,19.1,.686,12.1,36.9,15.5,7.25,4.81,10.0,15.7
57,Citadel,33,12,21,.364,-12.86,-2.93,,4,14,,8,8,,3,12,,89.8,94.6,,40.5,29.7,71.4,.416,12.0,35.3,.341,18.4,24.3,.757,13.6,37.3,17.0,9.27,2.58,14.3,22.3
58,Clemson,33,17,16,.515,13.22,9.98,,6,12,,11,6,,3,7,,74.8,71.5,,40.2,26.4,58.8,.449,7.24,20.3,.357,14.8,20.2,.731,11.1,34.1,12.5,7.12,3.94,10.7,15.2
59,Cleveland State,31,9,22,.290,-6.73,-1.53,,5,13,,5,6,,2,14,,67.2,71.7,,40.6,24.0,59.3,.405,7.06,22.9,.309,12.1,17.5,.691,10.9,33.0,10.5,7.13,3.03,13.1,20.5
60,Coastal Carolina,39,20,19,.513,-3.94,-1.48,,10,8,,15,6,,3,12,,72.6,73.3,,40.3,26.2,61.9,.423,8.15,24.7,.330,12.1,18.4,.658,12.3,40.3,12.0,6.08,2.79,13.0,18.2
61,Colgate,32,10,22,.313,-8.47,-3.60,,8,10,,4,8,,6,12,,67.0,71.0,,40.8,23.3,52.9,.440,8.47,22.9,.370,12.0,17.7,.677,8.22,32.4,12.9,5.13,2.56,14.7,18.8
62,College of Charleston,35,25,10,.714,3.99,-0.19,,14,4,,12,2,,10,5,,69.0,64.6,,40.1,23.0,53.2,.432,6.29,19.1,.328,16.8,22.8,.736,8.63,34.1,10.1,5.54,3.34,10.4,17.3
63,Colorado State,36,24,12,.667,6.03,2.17,,13,5,,15,5,,7,5,,72.5,68.0,,40.0,24.4,57.5,.425,7.14,21.1,.339,16.6,22.6,.731,11.4,38.2,11.0,6.06,3.42,10.9,17.2
64,Colorado,34,19,15,.559,9.12,6.00,,8,10,,13,4,,4,9,,75.5,72.2,,40.3,26.1,58.6,.446,7.35,21.1,.348,15.9,22.6,.704,11.9,37.5,13.9,5.06,4.29,12.1,18.6
65,Columbia,27,11,16,.407,-5.67,-3.13,,5,9,,7,6,,4,10,,71.9,72.7,,40.4,25.9,59.4,.437,7.81,21.6,.361,12.2,17.2,.708,10.1,34.9,15.5,7.04,2.93,12.9,18.7
66,Connecticut,33,16,17,.485,7.23,6.61,,9,9,,8,6,,4,8,,67.3,66.3,,40.3,23.6,54.8,.430,6.76,19.0,.355,13.4,18.8,.712,10.2,36.6,13.1,4.42,5.36,12.2,17.4
67,Coppin State,32,8,24,.250,-21.51,-8.01,,7,9,,5,6,,3,16,,66.2,78.8,,40.3,22.0,57.7,.382,7.03,22.1,.318,15.1,23.3,.650,11.5,34.8,10.5,5.69,2.25,13.8,20.8
68,Cornell,29,8,21,.276,-8.40,-1.55,,4,10,,3,8,,4,12,,71.5,77.2,,40.2,25.7,56.8,.453,8.41,24.8,.339,11.7,16.7,.698,7.55,33.7,14.4,5.17,2.69,14.4,18.2
69,Creighton NCAA,35,25,10,.714,17.27,8.95,,10,8,,13,4,,7,4,,81.8,72.8,,40.0,30.8,61.1,.504,8.69,21.9,.397,11.5,16.9,.682,8.26,34.9,17.1,6.09,2.91,12.4,16.6
