,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals
117,Howard NCAA,34,22,12,.647,-4.79,-5.79,,11,3,,12,2,,6,8,,75.5,71.9,,40.1,26.7,58.0,.461,8.00,21.2,.377,14.1,19.7,.714,11.6,35.8,14.9,7.18,3.18,16.3,17.6
118,Idaho,32,10,22,.313,-8.33,-3.50,,4,14,,6,10,,4,11,,73.0,72.9,,40.5,25.8,54.6,.472,6.78,19.9,.340,14.7,19.3,.762,6.94,30.6,11.9,5.13,1.78,11.3,16.8
119,Idaho State,32,11,21,.344,-6.21,-2.61,,8,10,,7,7,,4,12,,69.2,71.0,,40.9,24.8,55.8,.445,7.66,22.7,.338,11.9,16.2,.735,8.09,31.4,12.3,5.78,2.81,11.6,17.6
120,Illinois NCAA,32,20,12,.625,15.38,7.69,,11,9,,15,2,,3,7,,74.7,67.0,,40.5,26.7,59.2,.451,7.66,24.8,.309,13.6,20.0,.680,11.3,37.9,12.5,6.84,5.66,12.8,16.9
121,Illinois State,32,11,21,.344,-7.04,-3.04,,6,14,,8,7,,3,9,,66.5,70.5,,40.6,23.0,53.1,.434,7.25,21.6,.336,13.2,16.6,.793,8.75,32.7,10.8,5.72,3.28,14.6,18.4
122,Illinois-Chicago,32,12,20,.375,-8.55,-2.84,,4,16,,7,8,,3,11,,67.2,71.6,,40.3,23.3,56.1,.416,7.97,24.2,.329,12.5,19.1,.655,8.41,32.4,13.2,6.44,4.69,12.8,17.5
123,Incarnate Word,31,12,19,.387,-14.78,-7.99,,6,12,,7,7,,3,12,,70.8,73.9,,40.5,25.0,56.6,.442,6.26,18.0,.348,14.5,19.4,.747,9.16,31.5,12.3,8.35,2.84,13.7,17.2
124,Indiana NCAA,33,22,11,.667,15.64,9.07,,12,8,,15,2,,5,7,,75.0,68.5,,40.2,28.5,58.2,.489,5.67,15.3,.370,12.5,17.5,.712,9.06,35.8,15.4,5.76,4.94,11.6,17.3
125,Indiana State,34,22,12,.647,5.66,-3.65,,13,7,,11,4,,7,6,,79.4,69.3,,40.1,28.0,58.0,.482,9.47,26.8,.354,14.0,18.2,.770,7.03,34.6,15.9,6.56,1.88,11.8,16.4
126,Iona NCAA,34,27,7,.794,7.94,-3.44,,17,3,,11,1,,8,4,,76.4,65.0,,40.1,28.1,61.1,.461,7.06,19.6,.360,13.0,17.7,.731,11.2,35.8,15.0,7.47,5.56,10.6,16.3
127,Iowa NCAA,32,19,13,.594,14.63,8.81,,11,9,,14,3,,4,7,,80.2,74.4,,40.5,28.5,62.8,.454,8.06,23.5,.343,15.1,20.4,.739,12.0,36.3,16.6,6.63,3.44,9.91,14.7
128,Iowa State NCAA,32,19,13,.594,16.49,10.80,,9,9,,13,3,,3,8,,68.4,62.8,,40.3,25.6,56.9,.450,6.53,19.3,.339,10.7,15.8,.674,11.4,33.6,14.1,8.81,2.91,13.1,19.1
129,IUPUI,32,5,27,.156,-18.76,-5.33,,2,18,,4,9,,0,15,,65.3,76.8,,40.2,24.6,53.7,.458,4.56,15.4,.297,11.6,16.8,.691,9.28,31.6,11.2,5.78,2.53,15.8,17.8
130,Jackson State,33,14,19,.424,-10.92,-4.95,,12,6,,7,2,,6,14,,67.6,73.6,,40.5,24.2,57.9,.419,6.27,19.7,.318,12.9,19.1,.675,11.6,34.5,12.3,7.52,2.48,15.6,17.3
131,Jacksonville,29,13,16,.448,-6.14,-2.49,,6,12,,7,6,,6,10,,63.3,62.6,,40.0,23.7,52.4,.452,6.90,20.3,.340,9.14,12.2,.751,7.59,33.4,13.0,5.10,2.38,11.5,14.1
132,Jacksonville State,31,13,18,.419,-6.50,-2.43,,6,12,,9,5,,3,12,,69.9,70.3,,40.2,24.1,55.0,.438,9.06,24.1,.376,12.6,18.0,.699,10.3,36.0,12.3,5.55,2.39,13.2,16.5
133,James Madison,33,22,11,.667,5.05,-2.22,,12,6,,11,3,,8,6,,80.5,68.1,,40.6,28.3,61.2,.462,7.97,22.8,.350,16.0,22.7,.707,11.9,38.1,13.5,9.03,2.64,13.2,17.7
134,Kansas NCAA,34,27,7,.794,19.80,12.80,,13,5,,15,1,,7,4,,74.9,67.9,,40.3,27.6,59.4,.466,6.97,20.3,.344,12.7,17.7,.717,9.74,35.9,16.4,8.79,3.76,12.4,16.6
135,Kansas City,32,11,21,.344,-9.31,-2.81,,7,11,,6,8,,3,11,,64.4,68.7,,40.5,22.6,57.6,.392,5.88,20.8,.283,13.3,18.7,.712,13.4,37.0,9.38,6.00,3.66,13.5,18.3
136,Kansas State NCAA,32,23,9,.719,16.28,9.81,,11,7,,16,1,,4,7,,75.5,69.0,,40.6,26.2,57.8,.453,7.13,20.9,.340,16.0,21.3,.750,10.4,35.6,16.8,7.69,2.78,14.3,17.7
137,Kennesaw State NCAA,34,26,8,.765,0.36,-2.55,,15,3,,15,1,,10,6,,75.3,68.9,,40.4,26.6,57.6,.462,8.26,22.5,.368,13.8,20.9,.662,9.62,35.2,14.4,7.97,2.79,12.4,17.9
138,Kent State NCAA,34,28,6,.824,8.03,-1.35,,15,3,,15,0,,9,6,,76.6,65.7,,40.1,27.5,60.6,.454,7.88,23.4,.336,13.7,18.9,.725,10.8,35.5,12.4,8.91,3.94,11.4,19.0
139,Kentucky NCAA,32,21,11,.656,15.23,8.20,,12,6,,14,4,,6,4,,75.1,68.0,,40.3,27.5,60.0,.459,6.38,18.0,.354,13.7,19.5,.703,13.6,39.0,15.3,6.47,3.75,11.7,16.1
140,La Salle,34,15,19,.441,-2.69,0.08,,7,11,,8,8,,5,8,,69.8,72.6,,40.4,25.4,59.9,.424,7.29,21.4,.342,11.8,17.0,.693,11.3,35.8,12.0,6.74,3.24,12.6,17.8
141,Lafayette,34,11,23,.324,-8.02,-4.72,,7,11,,5,7,,5,16,,62.4,65.6,,41.0,22.6,55.3,.408,8.76,26.8,.327,8.47,13.5,.626,8.35,32.5,15.5,5.76,2.97,11.6,15.4
142,Lamar,31,9,22,.290,-17.12,-7.37,,5,13,,6,9,,2,12,,67.9,74.5,,40.3,24.5,57.0,.431,5.74,17.9,.320,13.0,18.5,.704,11.7,36.1,13.2,6.42,3.35,14.2,15.7
143,Lehigh,30,16,14,.533,-9.16,-6.12,,11,7,,9,6,,7,8,,69.8,69.4,,40.0,25.1,56.6,.443,6.83,19.5,.351,12.8,17.2,.746,6.77,33.5,12.3,6.23,2.37,11.8,16.7
144,Liberty,35,27,8,.771,8.45,-2.27,,15,3,,19,1,,6,6,,74.8,60.5,,40.0,26.8,56.5,.474,10.5,28.0,.376,10.7,14.7,.730,8.31,34.1,16.3,6.46,2.23,10.5,14.8
145,Lindenwood,32,11,21,.344,-14.58,-6.13,,6,12,,9,4,,2,14,,69.6,73.8,,40.8,25.1,58.5,.429,7.47,20.8,.360,11.8,16.3,.729,9.00,34.3,11.8,6.34,3.28,13.3,16.1
146,Lipscomb,33,20,13,.606,-1.83,-3.90,,11,7,,13,2,,7,11,,76.4,71.0,,40.6,28.6,60.1,.476,8.06,22.7,.356,11.2,15.0,.744,8.76,36.3,14.1,5.36,2.79,12.1,13.9
147,Little Rock,31,10,21,.323,-12.41,-6.76,,6,12,,8,5,,2,16,,75.4,79.4,,40.3,27.3,61.5,.443,5.97,18.3,.326,14.9,20.4,.731,10.9,35.7,14.8,6.74,2.32,13.5,19.6
148,Long Beach State,33,17,16,.515,-0.25,-0.09,,11,9,,9,5,,6,9,,76.5,74.4,,41.1,28.8,63.2,.455,4.42,15.0,.296,14.5,21.5,.678,13.0,40.6,15.0,7.42,3.27,14.1,17.1
149,Long Island University,29,3,26,.103,-24.94,-7.09,,1,15,,2,10,,1,14,,66.7,80.0,,40.0,24.8,58.0,.428,4.90,14.5,.338,12.2,18.4,.660,9.48,34.7,14.5,6.62,3.41,16.4,17.6
150,Longwood,32,20,12,.625,-1.81,-6.41,,12,6,,12,3,,8,8,,73.2,66.2,,40.0,26.0,57.4,.452,7.53,21.4,.352,13.7,19.0,.722,11.2,34.7,12.4,6.44,2.19,11.9,16.6
151,Louisiana NCAA,33,26,7,.788,3.97,-1.07,,13,5,,14,0,,7,7,,78.0,69.8,,40.2,28.1,58.1,.484,7.06,18.7,.378,14.7,21.5,.684,11.2,36.8,14.5,7.15,3.09,12.2,16.9
152,Louisiana State,33,14,19,.424,3.82,6.95,,2,16,,10,8,,0,9,,67.6,70.7,,40.0,23.3,56.8,.410,7.24,22.1,.327,13.8,19.2,.722,11.4,35.0,12.3,6.76,2.67,12.3,17.0
153,Louisiana Tech,33,15,18,.455,-0.12,1.68,,7,13,,9,6,,4,11,,72.2,70.3,,40.9,25.9,58.5,.442,8.52,24.7,.345,11.9,16.5,.722,10.9,34.7,12.4,7.88,2.64,13.7,17.3
154,Louisiana-Monroe,32,11,21,.344,-8.47,-0.40,,7,11,,7,8,,4,10,,67.4,69.8,,40.5,23.7,58.1,.408,7.56,21.6,.351,12.4,17.4,.713,10.8,35.1,12.6,6.88,3.56,12.7,15.1
155,Louisville,32,4,28,.125,-5.35,6.50,,2,18,,4,13,,0,11,,63.9,75.8,,40.0,22.4,53.1,.421,6.25,19.0,.329,12.9,17.5,.741,9.19,32.2,9.34,4.53,2.81,14.9,16.5
156,Loyola (IL),31,10,21,.323,-4.51,0.59,,4,14,,6,8,,3,8,,67.4,72.5,,40.5,24.4,52.8,.462,7.10,21.2,.334,11.5,16.4,.697,7.52,31.0,13.8,5.65,3.03,15.0,19.4
157,Loyola (MD),33,13,20,.394,-12.08,-6.17,,7,11,,9,6,,3,13,,67.3,70.6,,40.2,24.9,55.2,.451,7.58,21.2,.357,9.94,15.4,.644,9.12,31.4,13.9,7.48,2.36,13.5,15.7
158,Loyola Marymount,31,19,12,.613,5.50,4.83,,9,7,,13,3,,4,7,,75.3,73.1,,40.5,26.8,59.1,.454,9.32,25.5,.365,12.3,18.4,.671,10.6,36.1,11.8,5.45,2.77,12.8,19.4
159,Maine,30,13,17,.433,-8.94,-4.73,,7,9,,8,4,,5,12,,68.5,69.7,,40.5,26.1,57.0,.458,6.60,19.8,.333,9.60,13.2,.727,7.73,30.8,13.8,9.47,2.07,12.4,14.9
160,Manhattan,30,12,18,.400,-9.92,-4.99,,10,10,,5,9,,6,7,,67.2,70.4,,40.8,24.4,56.1,.436,6.83,20.5,.333,11.4,17.3,.660,9.13,31.7,12.3,7.57,3.50,13.5,16.4
161,Marist,33,13,20,.394,-8.47,-5.71,,6,14,,5,10,,4,9,,63.9,66.7,,40.2,22.6,55.1,.410,7.67,23.4,.328,11.1,15.9,.698,8.91,34.3,10.8,5.91,3.76,11.9,15.4
162,Marquette NCAA,34,28,6,.824,17.23,7.87,,17,3,,17,1,,8,4,,79.9,70.6,,40.6,29.6,60.8,.487,8.85,25.4,.348,11.9,16.4,.721,8.91,31.9,17.6,9.41,3.15,10.7,16.3
163,Marshall,32,24,8,.750,7.27,-2.70,,13,5,,15,2,,9,5,,81.8,71.3,,40.5,30.8,66.3,.465,8.25,24.4,.338,11.9,17.1,.693,12.3,39.0,17.5,9.00,5.28,11.6,16.4
164,Maryland NCAA,33,21,12,.636,15.12,7.91,,11,9,,16,1,,2,9,,70.4,63.2,,40.2,24.8,55.3,.449,6.85,20.7,.330,13.8,18.7,.739,9.82,33.8,11.5,5.36,3.67,10.5,15.8
165,Maryland-Baltimore County,32,18,14,.563,-6.32,-7.06,,8,8,,13,4,,5,10,,74.3,72.8,,40.2,27.2,60.3,.450,8.03,23.6,.341,12.0,16.0,.750,9.28,34.2,14.3,5.63,2.53,10.1,14.6
166,Maryland-Eastern Shore,31,18,13,.581,-7.53,-5.38,,9,5,,10,3,,7,9,,69.7,66.3,,40.2,25.0,58.5,.428,7.39,23.2,.318,12.3,17.1,.719,9.84,31.9,13.5,11.1,1.90,14.6,16.6
167,Massachusetts,31,15,16,.484,-1.24,0.41,,6,12,,8,6,,3,8,,69.8,71.4,,40.0,25.0,60.3,.415,5.87,17.9,.328,13.9,19.4,.716,13.0,38.3,13.6,6.81,3.84,14.3,17.5
168,Massachusetts-Lowell,34,26,8,.765,0.49,-8.67,,11,5,,17,0,,9,8,,78.0,66.0,,40.1,28.4,58.7,.484,6.94,18.2,.381,14.3,19.5,.736,11.9,38.6,14.3,6.97,4.82,13.7,16.8
169,McNeese State,34,11,23,.324,-13.29,-5.14,,6,12,,6,8,,5,15,,69.2,75.4,,40.4,25.2,58.6,.431,7.59,23.3,.325,11.1,16.8,.662,12.4,35.2,11.3,7.24,1.79,14.7,19.3
170,Memphis NCAA,34,26,8,.765,14.95,7.10,,13,5,,13,2,,7,5,,79.8,71.9,,40.4,28.8,59.9,.480,6.15,17.3,.356,16.1,21.5,.747,10.3,35.9,15.7,8.68,4.56,13.5,18.4
171,Mercer,33,14,19,.424,-5.03,-3.90,,6,12,,7,7,,4,10,,68.7,67.0,,40.5,25.8,57.1,.451,5.94,17.8,.334,11.2,16.2,.690,10.4,34.7,12.8,5.61,2.15,11.7,17.9
172,Merrimack,34,18,16,.529,-11.62,-9.56,,12,4,,10,6,,8,8,,62.6,62.3,,40.0,21.5,51.3,.419,7.38,22.6,.327,12.1,17.6,.689,6.74,28.6,12.6,11.2,4.09,14.1,14.2
173,Miami (FL) NCAA,32,25,7,.781,12.42,5.14,,15,5,,16,1,,7,4,,79.4,72.1,,40.2,29.0,59.6,.486,7.59,20.7,.368,13.9,17.9,.776,10.3,34.6,14.9,7.34,3.28,11.3,14.4
174,Miami (OH),32,12,20,.375,-7.09,-2.06,,6,12,,9,9,,3,9,,73.7,74.5,,40.2,25.9,56.8,.457,7.81,23.0,.340,14.0,17.8,.787,8.97,31.9,13.8,6.09,2.94,13.6,18.2
175,Michigan,33,18,15,.545,12.81,8.93,,11,9,,13,4,,3,7,,73.6,69.7,,40.9,26.5,58.8,.451,7.82,22.2,.352,12.8,18.1,.706,8.79,36.6,12.4,4.70,4.70,10.3,15.5
176,Michigan State NCAA,31,19,12,.613,14.05,11.21,,11,8,,12,2,,5,7,,70.2,67.4,,40.5,25.7,57.2,.450,7.48,18.9,.395,11.3,14.8,.762,8.90,35.7,14.8,4.58,2.90,10.9,16.5
177,Middle Tennessee,33,19,14,.576,2.76,1.88,,11,9,,12,2,,3,11,,70.1,67.8,,40.3,26.0,57.3,.453,6.91,20.4,.338,11.2,16.5,.683,11.1,33.6,10.8,7.55,4.82,13.3,17.5
178,Milwaukee,32,21,11,.656,-4.54,-4.03,,14,6,,15,3,,6,7,,78.3,73.8,,40.6,27.8,60.5,.460,8.00,22.7,.352,14.7,20.0,.732,11.9,39.1,14.2,7.00,5.59,15.2,18.0
179,Minnesota,31,9,22,.290,0.06,8.22,,2,17,,6,11,,1,9,,62.9,71.0,,40.3,23.2,53.7,.433,6.19,19.1,.325,10.2,16.5,.619,8.45,32.8,14.6,4.61,4.00,12.9,15.5
180,Mississippi,33,12,21,.364,6.22,7.79,,3,15,,7,10,,2,9,,67.5,69.1,,40.3,24.7,58.6,.422,6.15,20.3,.303,11.9,17.1,.695,12.0,35.8,13.1,7.12,3.73,12.2,15.9
181,Mississippi State NCAA,34,21,13,.618,11.95,7.22,,8,10,,12,4,,4,6,,65.7,61.0,,40.6,24.0,56.9,.421,5.24,19.7,.266,12.5,19.3,.647,12.9,37.9,14.2,8.62,3.44,12.8,15.2
182,Mississippi Valley State,32,5,27,.156,-17.84,-4.12,,4,14,,4,6,,1,19,,61.0,74.8,,40.3,21.3,52.5,.406,5.06,14.5,.349,13.3,20.0,.665,9.88,32.1,10.0,7.59,2.03,16.2,17.9
183,Missouri NCAA,33,24,9,.727,12.17,7.26,,11,7,,16,3,,5,5,,79.5,74.6,,40.3,28.4,59.9,.473,9.36,26.0,.361,13.4,17.7,.758,9.06,30.3,16.1,10.3,2.70,11.3,18.1
184,Missouri State,32,17,15,.531,0.72,-0.64,,12,8,,10,4,,5,8,,65.6,63.2,,40.5,24.1,55.5,.435,7.94,24.0,.331,9.38,15.0,.626,11.3,35.1,11.7,6.22,4.38,12.3,15.5
185,Monmouth,33,7,26,.212,-15.62,-2.59,,5,13,,3,10,,3,15,,61.7,74.7,,40.0,22.6,56.2,.402,4.06,14.1,.288,12.4,18.6,.667,11.1,33.0,12.0,8.42,2.52,14.4,19.2
186,Montana,31,17,14,.548,-0.80,-1.50,,10,7,,9,4,,6,9,,69.3,68.2,,40.2,24.6,53.2,.462,7.87,21.2,.372,12.2,15.5,.788,7.39,30.4,12.2,4.71,2.39,11.2,18.1
187,Montana State NCAA,34,25,9,.735,2.43,-1.66,,15,3,,12,1,,10,5,,74.2,66.6,,40.3,25.1,53.6,.469,6.18,18.3,.338,17.8,23.4,.759,8.32,33.1,12.5,6.50,2.97,11.7,18.5
188,Morehead State,32,21,11,.656,-7.63,-5.95,,14,4,,14,2,,7,8,,70.2,66.4,,40.2,24.3,55.2,.441,7.38,20.8,.355,14.2,19.7,.719,9.69,35.7,13.8,5.78,3.94,12.2,15.8
189,Morgan State,31,15,16,.484,-11.48,-6.00,,8,7,,10,2,,3,12,,74.9,72.3,,40.5,27.8,61.6,.452,6.65,18.0,.369,12.6,18.3,.688,11.7,34.6,15.5,9.77,4.45,16.1,20.9
190,Mount St. Mary's,33,13,20,.394,-8.06,-3.90,,8,12,,5,9,,7,10,,63.7,67.0,,40.3,23.4,55.1,.424,6.67,18.8,.354,10.3,14.0,.732,9.33,33.6,12.4,5.52,2.48,13.6,16.4
191,Murray State,32,17,15,.531,-4.11,-1.27,,11,9,,11,2,,3,11,,70.4,72.0,,40.5,25.2,57.0,.441,6.16,18.5,.332,14.0,19.0,.736,9.41,34.7,12.2,5.44,2.59,10.9,14.6
192,Navy,31,18,13,.581,-2.84,-6.18,,11,7,,9,6,,9,7,,69.4,64.9,,40.3,26.1,57.5,.454,7.74,20.9,.371,9.55,13.5,.706,10.0,34.5,14.8,6.94,2.74,11.5,15.9
193,NC State NCAA,33,23,10,.697,12.63,5.24,,12,8,,15,2,,4,6,,78.2,70.8,,40.2,29.0,64.2,.453,8.42,24.1,.349,11.7,16.2,.720,11.4,36.6,13.1,7.94,4.58,9.52,17.4
194,Nebraska,32,16,16,.500,7.41,9.32,,9,11,,11,4,,4,9,,68.0,69.9,,40.6,25.6,55.9,.458,6.69,20.5,.326,10.1,15.8,.641,8.25,34.5,13.1,5.53,2.47,12.7,14.1
195,Nevada NCAA,32,22,10,.688,11.30,6.79,,12,6,,14,1,,6,7,,72.6,66.9,,40.8,24.2,54.4,.444,7.09,20.5,.346,17.2,21.7,.791,7.50,33.6,14.2,6.06,3.13,10.3,17.9
196,Nevada-Las Vegas,32,19,13,.594,7.77,5.73,,7,11,,10,7,,5,6,,74.3,70.0,,40.8,25.6,59.2,.432,8.19,23.5,.349,14.9,20.6,.723,10.5,33.8,12.8,9.09,3.81,12.3,17.1
197,New Hampshire,30,15,15,.500,-9.14,-5.78,,9,7,,11,4,,4,11,,66.4,67.0,,40.3,23.2,58.3,.398,8.27,24.2,.342,11.7,16.9,.693,10.2,35.7,11.7,5.37,2.53,9.90,15.1
198,New Mexico,33,22,11,.667,11.89,5.67,,8,10,,15,4,,5,6,,81.2,74.0,,40.5,28.9,59.8,.484,5.73,16.1,.356,17.6,23.7,.744,9.79,37.0,13.7,6.70,3.91,11.3,17.0
199,New Mexico State,24,9,15,.375,-1.30,2.71,,2,10,,6,4,,1,9,,73.7,71.7,,40.0,26.3,59.4,.442,7.54,22.3,.339,13.6,20.0,.681,10.3,35.5,12.1,7.33,2.29,12.7,18.9
200,New Orleans,32,12,20,.375,-13.92,-7.05,,7,11,,6,9,,4,10,,73.1,79.3,,40.2,26.0,55.8,.467,6.13,16.2,.378,14.9,21.1,.709,9.66,32.3,14.6,6.72,2.19,17.1,19.3
201,Niagara,31,16,15,.516,-6.70,-4.50,,10,10,,9,4,,4,10,,65.0,65.9,,40.3,23.7,53.0,.448,6.32,18.4,.344,11.2,15.5,.723,8.06,30.5,10.9,5.32,2.29,11.8,16.1
202,Nicholls State,31,16,15,.516,-8.16,-5.08,,11,7,,11,3,,4,11,,75.6,72.7,,40.0,28.5,62.4,.456,7.68,22.5,.341,11.0,17.1,.645,11.5,34.7,13.9,9.74,3.00,13.5,20.6
203,NJIT,30,7,23,.233,-12.69,-5.73,,4,12,,5,8,,2,15,,66.9,72.7,,40.7,24.8,57.8,.429,6.53,18.7,.349,10.8,16.3,.664,8.70,34.1,11.2,5.33,2.83,11.1,15.7
204,Norfolk State,33,22,11,.667,-3.48,-6.38,,9,5,,10,2,,6,8,,75.8,68.6,,40.4,26.5,56.2,.472,6.82,20.1,.339,15.9,21.3,.744,11.0,35.9,12.8,7.09,3.70,13.2,18.1
205,North Alabama,32,18,14,.563,-8.20,-4.09,,10,8,,9,4,,8,10,,74.9,74.4,,40.5,27.3,58.8,.463,7.66,20.6,.372,12.7,17.9,.712,8.47,34.3,11.6,5.84,3.00,11.2,16.8
206,North Carolina,33,20,13,.606,13.04,7.76,,11,9,,12,3,,4,7,,76.2,70.9,,40.8,26.2,60.5,.434,7.09,22.8,.312,16.6,22.4,.742,11.2,39.5,12.0,5.36,3.88,10.8,16.8
207,North Carolina A&T,32,13,19,.406,-11.20,-3.75,,8,10,,8,5,,4,10,,70.8,73.8,,40.3,25.2,60.3,.417,8.16,24.5,.332,12.2,17.9,.681,9.38,35.5,11.7,7.50,3.06,12.0,17.1
208,North Carolina Central,30,18,12,.600,-2.79,-5.98,,10,4,,13,1,,4,10,,75.6,65.9,,40.7,27.2,57.9,.469,7.37,20.5,.360,13.9,19.8,.702,10.9,35.8,14.6,7.97,3.23,15.3,19.2
209,North Dakota,33,13,20,.394,-7.14,-2.62,,6,12,,8,8,,4,11,,72.1,73.9,,40.3,26.0,58.9,.441,9.21,26.3,.350,10.9,16.0,.683,9.21,33.4,11.9,4.42,2.67,11.5,15.8
210,North Dakota State,33,16,17,.485,-4.03,-1.58,,11,7,,9,4,,5,10,,72.8,73.2,,40.0,26.2,57.7,.455,7.48,22.3,.336,12.9,18.1,.712,8.52,36.1,11.2,3.94,2.97,11.5,15.4
211,North Florida,31,14,17,.452,-6.55,-2.34,,9,9,,11,2,,3,14,,76.2,77.6,,40.6,27.0,59.3,.455,10.4,28.4,.367,11.8,16.4,.719,9.00,34.1,13.1,4.97,3.87,12.2,14.0
212,North Texas,33,26,7,.788,9.62,1.75,,16,4,,12,2,,9,3,,64.2,55.7,,40.5,22.3,51.1,.436,7.21,20.6,.351,12.4,16.5,.750,10.9,33.7,11.1,6.33,2.94,11.9,16.4
213,Northeastern,30,10,20,.333,-10.33,-3.96,,6,12,,6,6,,3,12,,65.3,71.7,,40.3,23.7,56.8,.418,7.03,21.2,.332,10.8,15.8,.685,11.0,36.0,12.6,4.97,4.10,14.4,16.7
214,Northern Arizona,35,12,23,.343,-3.63,0.03,,5,13,,6,8,,3,13,,73.7,74.7,,40.6,26.6,60.7,.438,8.43,23.3,.362,12.2,16.5,.740,10.1,34.0,13.8,5.29,1.51,10.8,18.5
215,Northern Colorado,32,12,20,.375,-4.21,-0.21,,6,12,,6,7,,3,12,,73.6,77.5,,40.3,25.8,57.6,.448,8.28,23.2,.358,13.7,18.4,.745,8.22,33.4,11.3,4.59,1.69,11.9,18.6
216,Northern Illinois,32,13,19,.406,-6.20,-2.30,,9,9,,5,7,,7,10,,72.0,75.0,,40.2,26.2,56.8,.461,7.38,21.2,.348,12.3,18.9,.652,8.72,33.1,12.6,6.47,2.31,14.3,19.3
217,Northern Iowa,32,14,18,.438,-2.33,-0.71,,9,11,,8,8,,4,7,,70.1,69.9,,40.3,25.3,55.9,.453,7.44,21.8,.340,12.1,17.3,.697,7.63,32.8,11.6,6.38,1.41,12.0,15.6
218,Northern Kentucky NCAA,34,22,12,.647,-1.02,-3.49,,14,6,,14,3,,6,6,,68.2,63.6,,40.7,24.5,56.7,.432,8.18,23.4,.350,11.1,16.1,.692,11.1,32.4,13.6,9.41,2.59,11.4,15.4
219,Northwestern NCAA,32,21,11,.656,13.61,8.42,,12,8,,13,5,,7,4,,67.7,62.5,,40.3,23.5,58.0,.406,7.66,23.9,.321,12.9,17.2,.751,10.2,34.6,12.9,7.97,4.16,9.75,16.2
220,Northwestern State,33,22,11,.667,-4.41,-6.73,,13,5,,10,3,,10,7,,74.6,72.1,,40.3,27.3,61.3,.445,8.42,23.3,.361,11.7,16.6,.704,12.1,33.8,12.6,8.27,2.39,11.9,18.3
221,Notre Dame,32,11,21,.344,2.11,4.61,,3,17,,11,8,,0,10,,69.6,72.1,,40.2,25.3,57.2,.443,8.81,24.6,.358,10.2,13.3,.763,6.56,31.1,11.8,4.69,2.72,8.78,14.3
222,Oakland,32,13,19,.406,-7.82,-2.66,,11,9,,8,6,,5,10,,73.3,76.3,,40.8,25.7,59.1,.435,7.25,23.5,.308,14.7,18.9,.776,8.38,30.5,12.0,7.47,2.63,10.6,14.0
223,Ohio,33,19,14,.576,1.43,-2.32,,10,8,,14,1,,4,11,,78.8,73.1,,40.2,28.6,62.5,.458,8.94,24.0,.373,12.6,17.3,.730,12.1,37.5,12.5,6.70,2.21,11.2,17.7
224,Ohio State,35,16,19,.457,13.27,9.73,,5,15,,10,6,,1,10,,72.5,69.0,,40.3,27.1,58.6,.462,6.83,18.6,.368,11.5,15.6,.739,10.6,35.9,11.7,5.17,3.77,10.7,16.4
225,Oklahoma,32,15,17,.469,11.94,11.82,,5,13,,9,7,,2,8,,67.7,67.5,,40.3,24.4,53.3,.458,7.00,19.9,.351,11.8,16.0,.735,7.25,32.8,13.0,5.72,3.03,13.4,16.2
226,Oklahoma State,33,18,15,.545,13.48,11.12,,8,10,,11,5,,4,7,,68.5,66.1,,40.2,24.3,56.4,.432,6.91,22.2,.311,12.9,18.5,.694,11.0,36.8,12.5,5.70,4.88,14.2,17.3
227,Old Dominion,31,19,12,.613,-0.30,-0.53,,11,7,,12,4,,6,5,,66.9,66.2,,40.2,23.7,56.8,.418,5.29,16.9,.314,14.2,20.8,.680,12.1,37.9,10.6,6.35,3.77,11.2,16.7
228,Omaha,32,9,23,.281,-10.38,-1.41,,4,14,,5,7,,1,15,,68.5,76.2,,40.2,24.9,56.4,.442,5.72,16.9,.339,13.0,16.7,.776,8.09,32.4,11.9,5.38,2.88,12.5,18.3
229,Oral Roberts NCAA,34,30,4,.882,9.58,-2.96,,18,0,,16,0,,11,4,,84.2,70.1,,40.0,30.6,63.8,.479,10.8,29.3,.369,12.3,15.9,.776,8.88,36.9,14.8,6.88,5.38,9.41,13.1
230,Oregon,33,19,14,.576,13.44,9.84,,12,8,,13,5,,4,6,,70.7,67.1,,40.2,25.5,56.8,.449,7.06,22.2,.319,12.6,17.7,.709,11.1,37.1,13.2,5.67,4.79,12.2,14.8
231,Oregon State,32,11,21,.344,0.40,6.91,,5,15,,10,7,,1,10,,61.2,67.0,,40.0,21.1,51.5,.410,6.00,18.9,.317,13.0,17.2,.753,7.94,31.1,10.2,5.38,3.06,13.4,17.8
232,Pacific,33,15,18,.455,-0.07,2.54,,7,9,,7,10,,7,7,,75.8,77.7,,40.3,26.3,58.2,.452,9.00,23.1,.390,14.2,19.7,.720,8.09,31.6,12.7,5.42,2.58,11.8,19.0
233,Penn State NCAA,35,22,13,.629,12.81,8.90,,10,10,,13,4,,4,7,,72.3,68.4,,40.7,26.5,57.0,.464,10.4,27.0,.385,9.00,12.2,.738,6.00,32.6,13.9,4.37,2.20,9.00,15.7
