32  29
32	21	11	8.42	12	8	13	5	7	4	67.7	62.5	40.3	23.5	58	0.406	7.66	23.9	0.321	12.9	17.2	0.751	10.2	34.6	12.9	7.97	4.16	9.75	16.2
34	29	5	9.07	15	5	14	2	8	3	73.1	62.7	40.1	25.4	55.4	0.459	6.88	21.1	0.326	15.3	20.6	0.743	12.2	38.6	15.5	4.79	3.62	10.9	13.7
33	26	7	7.11	14	2	16	2	6	2	71.4	60.1	40.5	25.7	56.2	0.458	7.76	20.9	0.372	12.2	17.5	0.693	10.8	35.7	12.5	6.82	3.48	10.7	16.6
33	27	6	8.39	15	3	15	1	8	2	72.1	63.6	40.3	25.4	57.2	0.444	7.18	20.3	0.353	14.1	19.2	0.732	10.7	35.8	13.4	7.06	3.73	11.8	16.1
32	22	10	8.12	14	6	15	2	5	5	72.8	67.3	40.2	26	56.9	0.457	6.47	18.8	0.345	14.3	19.3	0.744	9.44	35.3	13.4	7.03	5.16	12.5	17.2
33	21	12	8.93	9	9	13	4	3	7	75.2	67.9	40.2	27.7	60.6	0.457	5.45	17.8	0.306	14.4	20.5	0.701	11.5	35.8	16.2	8.24	4.73	12.2	16.2
33	23	10	8.14	11	7	14	2	4	6	71.8	58	40.2	25.5	58.5	0.437	7.79	23.6	0.329	12.9	18.1	0.714	13	38.7	16.9	8.27	3.64	12.1	16.8
34	26	8	10.84	12	6	17	1	4	6	77.9	67.4	40.4	28.2	60.3	0.468	7.15	21.1	0.339	14.3	19	0.752	9.76	34.4	16.1	8.06	3.68	11.7	17.6
34	25	9	7.76	15	3	15	1	7	4	73.2	66.2	40	24	55.1	0.435	6.09	18.6	0.328	19.2	25.3	0.759	12.3	36.8	12.6	6.82	2.35	12.4	18.3
34	29	5	8.86	18	2	17	0	9	2	73.9	60.3	40	27.9	60.9	0.458	6.15	17.7	0.347	11.9	16.5	0.722	11.6	35.7	14.2	8.44	3.85	10.3	15.7
32	25	7	6.1	15	5	15	1	6	5	67.8	60.3	40.2	24	53.5	0.449	6.81	19.3	0.353	12.9	18.5	0.701	8.25	32	15.8	6.91	4.22	8.56	14.3
33	19	14	11.25	7	11	13	4	3	8	76.3	71	40.2	26.1	57.5	0.453	7.27	20.9	0.348	16.9	22.8	0.741	11.1	33.8	13.2	6.7	3.09	13	18.4
34	25	9	9	15	5	15	2	7	4	81.4	74.1	40.1	30.2	61.1	0.494	7.56	19.1	0.395	13.4	18.8	0.714	10.6	37.6	19.3	6.53	3.18	12.6	15.9
