,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
333,Virginia NCAA,38,35,3,.921,25.46,10.15,,16,2,,15,1,,10,1,,71.4,56.1,,40.4,25.6,54.1,.474,8.45,21.4,.395,11.7,15.7,.744,9.00,34.9,14.3,5.55,3.92,9.00,14.3
334,Wagner,30,13,17,.433,-12.99,-7.63,,8,10,,7,7,,6,10,,65.8,68.1,,40.2,21.8,56.5,.386,7.87,25.8,.305,14.3,19.2,.744,12.6,36.5,11.7,6.13,3.60,13.8,21.3
335,Wake Forest,31,11,20,.355,1.21,8.47,,4,14,,8,8,,1,10,,68.4,75.6,,40.3,23.0,58.5,.394,6.35,20.6,.308,15.9,22.0,.725,12.9,37.9,10.6,4.84,2.48,13.5,17.9
336,Washington State,32,11,21,.344,-1.67,2.20,,4,14,,9,7,,2,8,,74.8,78.7,,40.0,26.0,58.2,.448,9.41,25.9,.364,13.3,17.6,.755,8.63,33.6,14.9,5.28,2.78,13.8,17.3
337,Washington NCAA,36,27,9,.750,12.01,7.01,,15,3,,15,1,,7,4,,69.8,64.8,,40.1,24.5,54.3,.451,7.58,21.7,.350,13.1,18.9,.695,9.28,31.4,11.6,8.97,5.72,13.3,18.1
338,Weber State,33,18,15,.545,-4.37,-6.12,,11,9,,10,5,,5,7,,79.3,74.4,,40.3,27.9,58.6,.476,7.55,20.7,.364,16.0,21.5,.746,6.67,35.7,11.6,5.42,4.24,11.6,18.5
339,West Virginia,36,15,21,.417,6.94,10.57,,4,14,,11,7,,0,10,,73.8,77.4,,40.6,25.0,60.6,.413,7.47,23.7,.316,16.2,23.6,.688,14.4,39.6,13.6,6.19,3.50,15.5,19.6
340,Western Carolina,32,7,25,.219,-9.28,0.34,,4,14,,4,8,,3,14,,72.0,80.1,,40.5,24.8,54.5,.454,9.25,25.0,.370,13.3,19.6,.675,9.47,35.5,12.2,4.22,1.66,18.0,21.0
341,Western Illinois,31,10,21,.323,-10.04,-5.18,,4,12,,7,6,,2,14,,70.9,73.3,,40.2,26.4,60.0,.440,7.77,20.2,.385,10.4,14.2,.730,8.19,35.5,10.3,5.32,4.26,11.4,15.7
342,Western Kentucky,34,20,14,.588,3.14,0.96,,11,7,,10,4,,6,8,,71.4,69.3,,40.6,25.1,56.2,.447,5.85,17.9,.327,15.4,21.3,.724,9.94,36.9,12.3,6.91,5.12,13.7,15.5
343,Western Michigan,32,8,24,.250,-6.26,1.48,,2,16,,5,9,,2,14,,70.2,76.2,,40.6,24.2,56.9,.425,7.13,22.6,.315,14.7,21.3,.691,10.8,37.4,11.7,4.59,2.44,15.3,17.6
344,Wichita State,37,22,15,.595,7.72,5.91,,10,8,,10,4,,7,7,,70.5,68.7,,40.1,25.1,61.5,.408,7.46,24.1,.310,12.8,17.7,.725,12.2,38.3,13.5,4.70,3.65,12.1,19.1
345,William & Mary,31,14,17,.452,-4.78,-2.08,,10,8,,9,5,,5,11,,74.9,76.9,,40.8,27.1,57.2,.474,8.19,23.7,.346,12.4,18.6,.668,8.10,34.1,17.1,5.10,4.71,12.6,16.6
346,Winthrop,30,18,12,.600,-2.89,-3.74,,10,6,,11,3,,7,8,,83.3,78.6,,40.3,28.5,62.6,.455,12.4,33.2,.373,13.9,18.8,.738,11.0,41.1,15.3,4.47,2.77,15.2,17.8
347,Wisconsin NCAA,34,23,11,.676,17.90,11.01,,14,6,,12,3,,8,5,,68.6,61.7,,40.7,25.7,57.2,.449,7.09,19.8,.359,10.1,15.6,.648,8.32,35.2,12.6,5.21,4.12,9.62,15.0
348,Wofford NCAA,35,30,5,.857,13.92,0.80,,18,0,,15,1,,11,3,,82.3,65.6,,40.3,29.8,60.9,.490,11.0,26.5,.414,11.6,16.5,.704,10.4,35.2,15.1,6.66,3.00,10.8,16.8
349,Wright State,35,21,14,.600,3.29,-0.89,,13,5,,15,2,,5,8,,73.2,67.6,,40.1,25.3,57.9,.436,8.03,23.4,.344,14.6,19.8,.737,10.9,35.1,13.8,6.11,2.06,11.5,15.6
350,Wyoming,32,8,24,.250,-9.75,0.19,,4,14,,6,10,,1,11,,65.8,75.3,,40.2,21.6,51.8,.417,7.75,22.5,.344,14.9,20.6,.723,5.22,30.7,10.3,5.50,2.75,14.1,18.4
351,Xavier,35,19,16,.543,9.61,8.06,,9,9,,13,5,,4,8,,72.2,70.6,,40.6,26.3,56.5,.466,7.00,21.1,.331,12.5,18.4,.679,10.6,36.6,14.8,5.43,3.66,12.9,15.7
352,Yale NCAA,30,22,8,.733,5.52,-1.24,,10,4,,11,2,,8,5,,80.9,73.4,,40.5,29.8,60.4,.493,7.67,21.1,.363,13.7,18.6,.738,8.63,38.6,16.8,5.90,4.37,13.1,17.0
353,Youngstown State,32,12,20,.375,-7.78,-2.05,,8,10,,6,7,,5,11,,75.5,78.9,,40.8,27.5,64.3,.427,9.47,27.8,.340,11.1,15.8,.701,13.1,37.7,14.0,6.56,3.59,13.2,20.5
