68  29
30	24	6	-10.28	12	2	11	0	7	6	75.1	63.7	40	26.5	57	0.466	7.03	20.2	0.348	15	21.5	0.698	10.1	38.8	12.6	6.7	3.67	14	17.7
33	24	9	7.35	15	5	15	2	8	3	77.5	71.7	40.3	27.6	61	0.453	8.27	22.9	0.362	14	18.1	0.772	10.7	39.8	14.8	5.42	3.85	11.7	14.4
32	22	10	6.13	15	5	14	1	7	5	72.5	66.8	40.3	25.9	56.1	0.462	9.16	24.1	0.38	11.5	15.1	0.758	7.16	34.1	14.2	5.09	1.88	10.3	12.9
30	19	11	9.05	12	8	13	3	5	6	73.8	68.5	40.3	25.9	54.7	0.474	8.1	21.7	0.373	13.9	18.3	0.76	8.83	34.4	12.8	4.43	4.8	11	16.4
30	25	5	7.54	14	3	16	1	7	2	71.8	67	40.8	24.4	55.9	0.437	7.3	21.3	0.343	15.6	21.5	0.726	10.5	37.5	13.2	5.03	3.77	11.7	16
33	27	6	8.4	14	6	16	1	5	5	80.2	68.6	40.5	28.3	57.2	0.495	8.85	22.4	0.395	14.7	20.9	0.704	11	38.3	16.7	4.64	3.55	11.5	14.1
34	22	12	3.78	10	8	11	4	7	5	71.9	68.5	40.3	25.5	57.4	0.444	8.21	24.3	0.338	12.7	17.6	0.722	7.65	32.3	14.9	7.94	2.35	9.76	13.8
31	18	13	7.11	12	8	14	3	4	9	67.9	65.8	40.3	25.5	57.6	0.443	6.06	18.1	0.336	10.9	15.5	0.701	10.1	35.4	15	7.23	3.94	11.5	15.8
32	25	7	6.48	12	3	16	0	6	4	69.8	60.5	40	26.2	56.4	0.463	7.16	20.4	0.35	10.3	13.5	0.762	8.59	33.8	13.4	7	2.56	11.3	15.6
30	19	11	-3.08	14	6	9	4	7	7	66.9	61.8	40.2	23.6	54.7	0.431	5.87	16.6	0.353	13.9	20.3	0.683	11	36.2	12.2	7.27	4.93	13.9	19.5
31	23	8	6.24	13	4	14	1	5	5	65.3	57.7	40.3	23.7	54.7	0.433	6.03	16.9	0.358	11.9	17.1	0.695	9.81	35.1	11.9	7.48	4.71	12.7	17.4
33	24	9	5.55	10	6	14	4	7	2	77.1	67	40	27.6	60.5	0.457	9.64	27.2	0.354	12.2	17.5	0.696	10.7	37.9	13.1	7.7	4.61	12.9	17.9
31	21	10	8.68	11	8	13	3	6	5	72.9	66.3	40.2	25.6	60.4	0.423	7.35	21.6	0.34	14.4	19	0.757	12.2	38.9	10.4	7.03	5.45	12	15.6
34	30	4	-3.72	18	0	14	0	10	3	86.7	73.4	40.1	31.1	59.2	0.525	9.38	20.9	0.449	15.2	20	0.759	7.44	35.6	15.2	6.06	2.5	11	15.4
33	26	7	6.45	14	6	13	3	9	3	72.6	65.9	40.3	26.8	59.2	0.454	6.7	18.9	0.354	12.2	18.3	0.666	11.9	40.2	14.2	5.12	4.48	12	15.6
32	20	12	9.8	8	10	12	4	4	6	68.1	65	40.2	25.3	57.4	0.441	5.56	18.3	0.304	12	17.9	0.668	12.9	38.7	13.6	6.28	4.22	14.5	15.3
32	25	7	10.38	14	4	16	0	6	5	73.4	63.2	40.3	26	60.3	0.431	8.66	24.3	0.356	12.8	17.9	0.714	11.9	37	16	9.31	4.41	12.4	17.1
